월,KOSDAQ150 지수화,FADU 지수화,KOSDAQ150 월수익률(%),FADU 월수익률(%)
2024-02,102.49,102.46,,
2024-03,111.18,78.33,8.47,-23.56
2024-04,105.5,94.24,-5.11,20.31
2024-05,97.36,87.0,-7.71,-7.68
2024-06,99.6,102.46,2.30,17.78
2024-07,98.02,86.5,-1.58,-15.58
2024-08,94.58,69.56,-3.51,-19.59
2024-09,94.28,73.65,-0.31,5.88
2024-10,93.15,106.4,-1.20,44.48
2024-11,83.14,81.03,-10.74,-23.84
2024-12,82.63,73.89,-0.62,-8.81
2025-01,90.25,69.85,9.22,-5.47
2025-02,92.6,72.76,2.60,4.16
2025-03,81.93,57.0,-11.52,-21.67
2025-04,85.34,52.27,4.16,-8.30
2025-05,87.25,50.84,2.23,-2.73
2025-06,92.71,66.65,6.26,31.10
2025-07,98.53,59.46,6.28,-10.79
2025-08,97.18,69.8,-1.38,17.40
2025-09,102.24,108.87,5.20,55.96
2025-10,112.61,125.12,10.14,14.93
2025-11,116.53,136.21,3.48,8.86
2025-12,113.08,104.68,-2.96,-23.15
2026-01,150.24,104.68,32.86,0.00
2026-02,148.26,253.69,-1.32,142.35
