year,per,pbr,mcap_krw,mcap_trn
2015,5.12329223592136,2.0934414480281656,22386072723750.0,22.38607272375
2016,10.683556405353729,2.7098943821562727,32541705715500.0,32.5417057155
2017,5.07530020566576,3.2939062413500646,55692180922500.0,55.6921809225
2018,2.7184902269153,1.8803913793061855,44044143082500.0,44.0441430825
2019,31.974176010873254,2.858639182893906,68505022546500.0,68.5050225465
2020,17.045454545454547,3.3251380204542658,86268280252500.0,86.2682802525
2021,9.364500679105012,3.0686229819512736,95368309815000.0,95.368309815
2022,23.133867982726713,1.7260415073699125,54600177375000.0,54.600177375
2024,6.052485034108312,3.426083821630709,126599611273500.0,126.5996112735
2026,5.8300978031159385,16.24599413843162,690874244385000.0,690.874244385
2027,5.205444467067802,14.116532646378328,690874244385000.0,690.874244385
