year,per,pbr,mcap_krw
2015,5.12329223592136,2.0934414480281656,22386072723750.0
2016,10.683556405353729,2.7098943821562727,32541705715500.0
2017,5.07530020566576,3.2939062413500646,55692180922500.0
2018,2.7184902269153,1.8803913793061855,44044143082500.0
2019,31.974176010873254,2.858639182893906,68505022546500.0
2020,17.045454545454547,3.3251380204542658,86268280252500.0
2021,9.364500679105012,3.0686229819512736,95368309815000.0
2022,23.133867982726713,1.7260415073699125,54600177375000.0
2024,6.052485034108312,3.426083821630709,126599611273500.0
2026,7.35,20.48,870842253031920.0
2027,7.35,19.93,975343352515845.0
